title,description,price,featured
Bruhat Jammakol Prassanam,Recorded foundational-to-advanced training in Bruhat Jammakol prashna method.,"₹14,000",true
Bruhat Tamboola Prassanam,Recorded course on Tamboola prashna interpretation and decision mapping.,"₹5,999",false
Bruhat Chozhi Prassanam,Recorded Chozhi prashna training with applied prediction structure.,"₹10,999",false
28 Prassanam Secret of Siddars (Prassana Siddhantam),Advanced recorded course on Siddhar prassana siddhantam framework.,"₹26,998",false
Tantrik Numerology,Recorded numerology system with tantrik insights for practical application.,"₹13,690",false
Mandi,Short recorded module focused on Mandi usage in prediction.,"₹1,999",false
Bruhat Transit Rahu,Recorded transit-focused module dedicated to Rahu movement interpretation.,"₹5,999",false
Subtle Secrets of Prediction (Part 1),"Part 1 covering tithi soonyam, retro effects, badakadipathy and more.","₹4,991",false
Subtle Secrets of Prediction Part 2 (108 Sukshma Panchangam Remedies),Part 2 focused on 108 Sukshma Panchangam remedy applications.,"₹4,991",false
Subtle Secrets of Prediction Part 3 (12 Kinds of Research),Part 3 introduces 12 important research tracks in prediction.,"₹5,036",false
Subtle Secrets of Prediction Part 4 (Maha Yoga Degree Tarangani),Part 4 explores Maha Yoga degree tarangani based prediction layers.,"₹5,056",false
Bruhat Matrimonial Compatibility,Recorded compatibility framework for matrimonial assessment.,"₹10,999",false
Sapta Ganitham (Advanced Numerology),Advanced numerology track in Sapta Ganitham method.,"₹14,999",false
Dhan Vashikaran (All Six Parts),Complete six-part recorded Dhan Vashikaran program.,"₹24,404",false
Secrets of Ketu,Compact recorded module on subtle Ketu interpretation.,"₹1,099",false
Bruhat Ketu Transit,Recorded transit module focusing on Ketu movement effects.,"₹5,999",false
Surya Siddhantam (Upagraha Course),Recorded Surya Siddhantam upagraha-focused training.,"₹10,771",false
Medical Astrology Part 1,Recorded medical astrology foundation module.,"₹14,848",false
Medical Astrology Part 2 (Bach Flowers),Part 2 recorded module with Bach flower integration.,"₹13,225",false
Tarot Arudam Part One,Recorded Tarot Arudam first-level program.,"₹14,999",false
Tarot Arudam Part Two,Recorded Tarot Arudam second-level program.,"₹14,999",false
Tarot Arudam (Both Levels One Shot),One-shot combined pricing for Tarot Arudam Part One and Two.,"₹24,999",false
Bruhat Panchapakshi Shastram Level One,Recorded level one training in Bruhat Panchapakshi Shastram of Siddars.,"₹25,000",false
Bruhat Panchapakshi Shastram Final Level,Final level recorded Panchapakshi course with advanced application.,"₹35,000",false
Bruhat Panchapakshi Shastram (Both Levels One Shot),One-shot combined pricing for both Panchapakshi levels.,"₹50,000",false
"Predict Your Horoscope with Panchangam (Karanam, Tithi, Vara and Hora, Yogam)","Comprehensive Panchangam track covering Karanam, Tithi, Vara and Hora, and Yogam.","₹40,366",true
Bruhat Nadi Astrology,"Recorded Nadi module including prediction, palmistry, vastu, muhurta, kasyapa hora, and remedies.","₹28,000",false
Nadi Higher Advanced,"Higher advanced Nadi module including bhava, saptarishi nadi ashtakavargam, kakshyam and dasa bukthi.","₹28,000",false
Nadi Astrology (Both Modules One Shot),One-shot combined pricing for both Nadi modules.,"₹50,000",false
Graha Samyogam,Predictive module on 48 important destiny-making and breaker combinations.,"₹6,999",false
Rasi Karakatwas (Blank Chart Predictions),Predict everything using lagna and rasi with blank-chart methods.,"₹5,999",false
Twelve Bhava,Extensive Twelve Bhava predictive mastery program.,"₹55,400",false
Graha Karakatwam,Fundamental and master module on graha karakatwam prediction secrets.,"₹5,036",false
Predictive Astrology (One Shot: 4 Modules),"One-shot package for Graha Samyogam, Rasi Karakatwas, Twelve Bhava, and Graha Karakatwam (book included as per brochure).","₹64,000",true
Nakshatra Series (Ashwini to Revathy),Nakshatra series based on Tamil classic Kumaraswamyam.,"₹53,380",false
